"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileComponents\WishList\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 5, 27
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileTab\ProfileTab.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\ProfileTab\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 1, 4, 22
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\RegistrationForm\RegistrationForm.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 10, 66
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\RegistrationForm\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 2, 17, 110
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\SectionBlock\SectionBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\SectionBlock\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Skeletons\ProductCardSkeleton\ProductCardSkeleton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 12, 68
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\Skeletons\ProductCardSkeleton\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\SupportUkraine\SupportUkraine.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\SupportUkraine\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 2, 11, 50
"c:\Users\luxurypluxury\Desktop\wedding\client\src\components\SwiperBlock\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\luxurypluxury\Desktop\wedding\client\src\layout\PrimaryLayout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\luxurypluxury\Desktop\wedding\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Home\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 115, 0, 0, 21, 136
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 4, 13, 144
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Login\Login.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 15, 111
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 3, 5, 40
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Product\Product.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 253, 0, 0, 49, 302
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Product\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 5, 15, 164
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Products\Products.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 149, 0, 0, 25, 174
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Products\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 4, 17, 149
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Profile\Profile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Profile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 4, 13, 75
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Register\Register.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 15, 111
"c:\Users\luxurypluxury\Desktop\wedding\client\src\pages\Register\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 3, 5, 40
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\auth\asyncActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\auth\selectors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\auth\slice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 9, 51
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\auth\types.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 8, 30
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\comments\asyncActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\comments\selectors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\comments\slice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\comments\types.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
